franchiseId,teamName,conference
32,Anaheim Ducks,Pacific
28,Arizona Coyotes,Pacific
21,Atlanta Flames,Defunct
35,Atlanta Thrashers,Defunct
6,Boston Bruins,Atlantic
8,Brooklyn Americans,Defunct
19,Buffalo Sabres,Atlantic
21,Calgary Flames,Pacific
13,California Golden Seals,Defunct
26,Carolina Hurricanes,Metropolitan
11,Chicago Blackhawks,Western
13,Cleveland Barons,Defunct
27,Colorado Avalanche,Western
23,Colorado Rockies,Defunct
36,Columbus Blue Jackets,Metropolitan
15,Dallas Stars,Western
12,Detroit Cougars,Defunct
12,Detroit Falcons,Defunct
12,Detroit Red Wings,Atlantic
25,Edmonton Oilers,Pacific
33,Florida Panthers,Atlantic
4,Hamilton Tigers,Defunct
26,Hartford Whalers,Defunct
23,Kansas City Scouts,Defunct
14,Los Angeles Kings,Pacific
15,Minnesota North Stars,Defunct
37,Minnesota Wild,Western
1,Montréal Canadiens,Atlantic
7,Montreal Maroons,Defunct
2,Montreal Wanderers,Defunct
34,Nashville Predators,Western
23,New Jersey Devils,Metropolitan
8,New York Americans,Defunct
22,New York Islanders,Metropolitan
10,New York Rangers,Metropolitan
13,Oakland Seals,Defunct
30,Ottawa Senators,Atlantic
3,Ottawa Senators (1917),Defunct
16,Philadelphia Flyers,Metropolitan
9,Philadelphia Quakers,Defunct
28,Phoenix Coyotes,Defunct
17,Pittsburgh Penguins,Metropolitan
9,Pittsburgh Pirates,Defunct
4,Quebec Bulldogs,Defunct
27,Quebec Nordiques,Defunct
29,San Jose Sharks,Pacific
18,St. Louis Blues,Western
3,St. Louis Eagles,Defunct
31,Tampa Bay Lightning,Atlantic
5,Toronto Arenas,Defunct
5,Toronto Maple Leafs,Atlantic
5,Toronto St. Patricks,Defunct
20,Vancouver Canucks,Pacific
38,Vegas Golden Knights,Pacific
24,Washington Capitals,Metropolitan
35,Winnipeg Jets,Western
28,Winnipeg Jets (1979),Defunct
